=== Energy Consumption Metrics ===

Total Duration: 33156.15 seconds
Average CPU Power: 1.01 Watts
Average RAM Power: 2.72 Watts
Average GPU Power: 51.85 Watts
Total Energy Consumption: 1.8428 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.34W (CPU: 4.11W, RAM: 0.39W, GPU: 19.84W)
Round 16, node_1_training_start: 23.58W (CPU: 0.00W, RAM: 2.57W, GPU: 21.01W)
Round 16, node_1_training_complete: 77.66W (CPU: 2.01W, RAM: 2.58W, GPU: 73.07W)
Round 16, node_1_smpc_start: 74.13W (CPU: 0.00W, RAM: 2.58W, GPU: 71.55W)
Round 16, node_1_smpc_complete: 24.20W (CPU: 0.09W, RAM: 2.57W, GPU: 21.55W)
Round 16, node_2_training_start: 24.03W (CPU: 0.00W, RAM: 2.57W, GPU: 21.46W)
Round 16, node_2_training_complete: 77.83W (CPU: 1.89W, RAM: 2.55W, GPU: 73.39W)
Round 16, node_2_smpc_start: 75.94W (CPU: 0.00W, RAM: 2.55W, GPU: 73.39W)
Round 16, node_2_smpc_complete: 23.42W (CPU: 0.09W, RAM: 2.55W, GPU: 20.78W)
Round 16, node_3_training_start: 23.40W (CPU: 0.00W, RAM: 2.55W, GPU: 20.85W)
Round 16, node_3_training_complete: 76.44W (CPU: 1.89W, RAM: 2.54W, GPU: 72.00W)
